,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,1341646,Speed Reading MACHINE 3.1: How To Read 307 Books In 2021,4.4,5,0.5,629,Personal Development,Memory & Study Skills,Speed Reading,Silviu Marisk - Effective Learning Lab,English,False,0,4,0,4.5 hours,76,No,148.98,"{'amount': 20.0, 'currency': 'SGD', 'price_string': 'S$20', 'currency_symbol': 'S$'}"
0,550908,How to Improve Your Credit Score in the UK,0,0,0,0,Finance & Accounting,Money Management Tools,Credit Repair,Lisa Newton,English,False,0,0,0,1 hour,0,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4102770,Practice Exams | MS Azure DP-100 Design & Implement DS Sol,0,0,0,0,IT & Software,IT Certifications,Microsoft Certification,Wade Henderson,English,False,6,0,0,,0,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1766532,Fundamentals of Plastics and Polymers,3.9,5,0.5,185,Business,Industry,Chemistry,Ololade Olatunji,English,False,0,0,0,2.5 hours,2,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3958210,Jeet Kune Do Fundamentals & Concepts,0,0,0,0,Health & Fitness,Self Defense,Jeet Kune Do,"Sifu Rob Doggett, The JKD Process",English,False,0,0,0,1.5 hours,0,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2808957,Learn Adobe Premiere Pro FAST : The Ultimate Guide,4.9,5,0.5,35,Photography & Video,Video Design,Adobe Premiere,Brandon Lemke,English,False,0,0,0,3.5 hours,4,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3718992,Market Your App With Google & Facebook Ads,5.0,5,0.5,1,Marketing,Digital Marketing,App Marketing,Oak Academy,English,False,0,1,0,3.5 hours,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1292112,Merch by Amazon T-Shirt Design for Non-Designers,4.7,5,0.5,65,Design,Fashion Design,Merch By Amazon,David James Ault,English,False,0,0,0,4 hours,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2698386,Axure RP 9 Fundamentals and Mobile prototyping for UX Design,4.6,5,0.5,191,Design,User Experience Design,Axure RP,Anand Padia,English,False,0,0,0,10 hours,103,Yes,98.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,170108,SAP Customer Credit and Debit Memo Processing,4.6,5,0.5,25,Office Productivity,SAP,SAP SD,Devon Winters,English,False,0,1,0,3.5 hours,0,No,44.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
