,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
3306,Solve A 3x3 Rubik's Cube Beginner To Intermediate (Best) 2hr,5.0,5,0.5,1,Personal Development,Memory & Study Skills,Rubik's Cube,Jayde Rea,English,False,0,0,0,3.0,0,No,29.98,22.0
3307,Songwriting From a Lyrical and Melodic Standpoint,4.9,5,0.5,4,Music,Music Techniques,Songwriting,Zack Shada,English,False,0,0,0,3.5,21,No,29.98,29.98
3308,Beginners Guide to Livestreaming Using Vmix and OBS,3.2,5,0.5,2,Marketing,Video & Mobile Marketing,Live Streaming,Chicvoyage Productions,English,False,0,0,0,3.0,0,No,108.98,22.0
3309,"Lean tools you can use ""5S""",4.9,5,0.5,172,Business,Operations,The 5S System,Lean Strategies International LLC,English,False,0,0,0,1.5,58,Yes,29.98,22.0
3310,A Complete guide to managerial economics,0.0,0,0.0,0,Teaching & Academics,Other Teaching & Academics,Economics,Akansha Srivastava,English,False,0,0,0,1.0,1,No,34.98,22.0
3311,Amazon FBA Escape Plan - Complete Beginner To Expert Seller,4.6,5,0.5,747,Business,E-Commerce,Amazon FBA,Sumner Hobart,English,False,0,14,0,24.5,19,No,138.98,22.0
3312,Canon EOS 700D / REBEL T5i Camera User Guide,4.8,5,0.5,66,Photography & Video,Digital Photography,Cameras,Adrian Salisbury,English,False,0,0,0,1.0,0,No,29.98,22.0
3313,Linear Equations: Complete Course,5.0,5,0.5,1,Teaching & Academics,Online Education,Algebra,Yusuf Nur,English,False,0,0,0,1.0,13,No,29.98,22.0
3314,After Effects - Motion Graphics & Data Visualization,4.6,5,0.5,5773,Design,3D & Animation,After Effects,Daniel Walter Scott,English,False,0,0,0,6.5,3,Yes,128.98,22.0
3315,Couples Posing : couple photography from classic to candid,0.0,0,0.0,0,Photography & Video,Portrait Photography,Posing,Ekaterina Shemeleva,English,False,0,0,0,0.5333333333333333,0,No,34.98,22.0
3316,AZ-900 || Microsoft Azure Fundamentals Exam Prep 2021 - #01,5.0,5,0.5,5,Office Productivity,Microsoft,Microsoft Certification,Jyoti singh,English,False,4,0,0,0.0,0,No,44.98,22.0
3317,Asian Slim Secrets 101,3.6,5,0.5,149,Health & Fitness,Dieting,Weight Loss,"Linda Yo, MS",English,False,0,3,0,0.65,0,No,29.98,22.0
3318,Personal Finance Masterclass - Easy Guide to Better Finances,4.6,5,0.5,2085,Finance & Accounting,Finance,Personal Finance,Phil Ebiner,English,False,0,14,0,7.0,2,No,108.98,24.0
3319,Voice Acting for Beginners: Learn Voice Acting from Scratch,4.3,5,0.5,106,Music,Vocal,Voice Acting,Nader Nadernejad,English,False,0,3,0,1.0,4,No,128.98,22.0
3320,Customer Service Master Class,5.0,5,0.5,4,Business,Operations,Customer Service,The Main Street Entrepreneur,English,False,0,0,0,0.7333333333333333,1,No,34.98,22.0
3321,TEFL Games and Activities: Essential Collection,5.0,5,0.5,2,Teaching & Academics,Teacher Training,ESL,Nikolas John Cakebread,English,False,0,0,0,1.5,18,No,40.98,22.0
3322,Facebook Accelerator,4.4,5,0.5,56,Music,Other Music,Music Marketing,Christopher Greenwood,English,False,0,0,0,1.0,0,No,108.98,22.0
3323,Oracle DBA 11g/12c - Database Administration for Junior DBA,4.5,5,0.5,5948,Office Productivity,Oracle,Oracle Database,Amarnath Reddy,English,False,0,7,0,11.0,7,Yes,138.98,23.0
3324,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",4.4,5,0.5,8662,Development,Software Development Tools,Jenkins,Ricardo Andre Gonzalez Gomez,English,False,0,9,0,10.5,0,No,128.98,22.0
3325,AR Location Based without GPS,3.5,5,0.5,1,Development,Game Development,Augmented Reality,Abolfazl TanhaEReshvanloo,English,False,0,3,0,1.0,0,No,59.98,22.0
3326,Natural Language Processing From First Principles,4.8,5,0.5,4,Development,Data Science,Natural Language Processing,Phil Tabor,English,False,0,0,0,3.0,25,No,128.98,22.0
3327,Fall Prevention and Management in Emergency Medical Services,5.0,5,0.5,4,Health & Fitness,Safety & First Aid,Emergency Management,Keli Zemke,English,False,0,0,0,0.0,0,No,0.0,0.0
3328,Personal Cash Flow and Saving Money Methods,0.0,0,0.0,0,Business,Business Strategy,Cash Flow,Dosta Andrew Lake,English,False,0,0,0,1.5,0,No,108.98,22.0
3329,Adhesive Tapes for Designers and Engineers,5.0,5,0.5,5,Teaching & Academics,Engineering,Materials Science,Michael Davis,English,False,0,0,0,0.0,0,No,0.0,0.0
3330,Figure Drawing Foundations | Proportions,4.8,5,0.5,468,Design,Other Design,Figure Drawing,Clayton Barton,English,False,0,0,0,6.0,8,No,29.98,22.0
3331,Jeet Kune Do Level 3 - Broken Rhythm & Whole Body Striking,0.0,0,0.0,0,Health & Fitness,Self Defense,Jeet Kune Do,"Sifu Rob Doggett, The JKD Process",English,False,0,0,0,2.0,0,No,34.98,22.0
3332,Modern Productivity — Superhuman Focus In A Distracted World,4.6,5,0.5,9512,Personal Development,Personal Productivity,Focus Mastery,Brad Merrill,English,False,0,1,0,2.0,1,No,148.98,24.0
3333,Descriptive Tools and Approaches in Quantitative Methods,5.0,5,0.5,1,Business,Business Analytics & Intelligence,Business Analytics,SG Higher Education,English,False,0,0,0,3.5,4,No,29.98,22.0
3334,1st Season of 50 Days of Meditation with Sound Bath Concerts,0.0,0,0.0,0,Health & Fitness,Meditation,Unknown,Zayra Mo,English,False,0,13,0,29.5,0,No,128.98,22.0
3335,Intro to Yoga Arm Balances for Beginners,5.0,5,0.5,1,Health & Fitness,Yoga,Unknown,Nathania Stambouli,English,False,0,0,0,4.0,0,No,44.98,44.98
3336,Minimalist Lifestyle - Complete Course - Decluttering Life,4.3,5,0.5,88,Lifestyle,Home Improvement,Minimalist Lifestyle,TJ Walker,English,False,0,1,0,5.5,3,Yes,68.98,22.0
3337,Quality PPC Advertising,5.0,5,0.5,1,Marketing,Advertising,PPC Advertising,Eric Yeboah,English,False,0,0,0,1.0,0,No,118.98,22.0
3338,Workplace bullying. Animated stories with descriptions.,5.0,5,0.5,2,Business,Human Resources,Bullying,Animated Experience,English,False,0,2,0,1.5,0,No,29.98,22.0
3339,"ULTIMATE SEO, SOCIAL MEDIA, & DIGITAL MARKETING COURSE 2021",4.3,5,0.5,1575,Marketing,Digital Marketing,Social Media Marketing,"Ing. Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert",English,True,0,1,0,91.5,109,No,128.98,22.0
3340,"Build A Custom Dynamic Blog Website with PHP, MySQL & Jquery",4.6,5,0.5,94,Development,Web Development,Unknown,Parth Modi,English,False,0,0,0,6.0,4,No,29.98,22.0
3341,Acrylic Painting: Learn the Basics For Beginners,0.0,0,0.0,0,Design,Other Design,Acrylic Painting,Laurie Anne Gonzalez,English,False,0,2,0,2.0,2,No,40.98,22.0
3342,Decision Modeling and Analysis with Excel,4.8,5,0.5,23,Business,Business Analytics & Intelligence,Excel Modeling,Gancheng Sun,English,False,0,2,0,6.0,94,Yes,104.98,22.0
3343,Microsoft Word - Basic to Advance Level MS Word Course,4.3,5,0.5,51,Office Productivity,Microsoft,Microsoft Word,Usama Hassan,English,False,0,0,0,2.0,1,No,29.98,22.0
3344,"PCA & multivariate signal processing, applied to neural data",4.9,5,0.5,260,Teaching & Academics,Science,Linear Algebra,Mike X Cohen,English,False,0,2,0,14.5,2,No,29.98,22.0
3345,Effective  Solution Focused Therapy,5.0,5,0.5,1,Personal Development,Other Personal Development,Solution Focused Therapy,Eric Yeboah,English,False,0,0,0,2.0,0,No,128.98,22.0
3346,Mailchimp Email Marketing Automation - Essentials Training,0.0,0,0.0,0,Marketing,Advertising,Email Marketing,Amir Rimer,English,False,0,0,0,3.0,1,No,128.98,22.0
3347,Techniques in Art - Sculpture and Metalsmithing,0.0,0,0.0,0,Teaching & Academics,Humanities,Jewelry Design,Professor Curtis,English,False,0,0,0,1.0,5,No,29.98,22.0
3348,VoiceQ Training for Engineers,5.0,5,0.5,1,Music,Other Music,Audio Production,Jordan Koziol-Repia,English,False,0,0,0,0.6666666666666666,1,No,29.98,22.0
3349,Eye-liner + shadow/smokey PERMANENT MAKEUP,5.0,5,0.5,1,Lifestyle,Beauty & Makeup,Makeup Artistry,Kristina Bagrova,English,False,0,0,0,1.5,1,No,78.98,22.0
3350,Real Estate Investing - The Golden Course For Success,0.0,0,0.0,0,Business,Real Estate,Real Estate Investing,Bryan Chang,English,False,0,0,0,0.7,1,No,59.98,22.0
3351,Dog Aggression – Fighting & Biting,5.0,5,0.5,49,Lifestyle,Pet Care & Training,Dog Training,Ian Dunbar,English,False,0,0,0,5.5,0,No,108.98,22.0
3352,Personal Finance Made Easy - Tracking Your Expenses,0.0,0,0.0,0,Finance & Accounting,Money Management Tools,Personal Finance,Stephen Braun,English,False,0,0,0,1.5,3,No,29.98,22.0
3353,Get started with your first PROGRAMMATIC Advertising COURSE,5.0,5,0.5,4,Marketing,Digital Marketing,Programmatic Advertising,Kanika B,English,False,0,0,0,1.0,2,No,34.98,22.0
3354,Acumen Presents: Dan Ariely on Changing Customer Behavior,4.5,5,0.5,1452,Business,Entrepreneurship,Psychology,Acumen Academy Courses,English,False,0,11,0,2.0,1,Yes,188.98,188.98
3355,Facebook Ads Profit Bootcamp: Covert Ads into Sales!,4.1,5,0.5,407,Marketing,Advertising,Facebook Ads,Suppoman ™,English,False,0,0,0,8.0,0,No,128.98,22.0
3356,Play YOUR Favorite Songs: The Guitar Super-Course,4.6,5,0.5,453,Music,Instruments,Guitar,Cooper - Guitar Songs Masters,English,False,0,49,0,12.5,21,No,49.98,49.98
3357,Simple Keto - Start a Well-Formulated Ketogenic Diet,4.2,5,0.5,118,Health & Fitness,Dieting,Ketogenic Diet,Siim Land,English,False,0,0,0,2.0,30,No,88.98,22.0
