,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
13467,Under the Hood: How Cars Work,4.1,5,0.5,204,Personal Development,Other Personal Development,Car Repair,Loony Corn,English,False,0,0,0,4.0,0,No,108.98,22.0
13468,Real Estate Investing...Without Owning Real Estate Property!,4.9,5,0.5,91,Business,Real Estate,Unknown,"Steve Ballinger, MBA",English,False,0,0,0,3.5,0,No,128.98,18.0
13469,Kotlin for Android & Java Developers: Clean Code on Android,4.5,5,0.5,1263,Development,Mobile Development,Kotlin,Peter Sommerhoff,English,False,0,8,0,9.0,3,No,128.98,18.0
13470,"Pocketing Peru, Travel Tribe Culture Series",0.0,0,0.0,0,Lifestyle,Travel,History,Kelsey Betzelberger,English,False,0,0,0,0.7166666666666667,4,No,29.98,18.0
13471,"More Money, Less Stress, Better You",0.0,0,0.0,0,Business,Other Business,Law of Attraction,Daniel GINZBURG,English,False,0,1,0,3.0,5,No,218.98,218.98
13472,Google Analytics Certification Training 2021,3.7,5,0.5,65,Marketing,Marketing Analytics & Automation,Google Analytics,Uplatz Training,English,False,0,0,0,2.5,0,No,29.98,18.0
13473,How to run a six-figure photography business!,5.0,5,0.5,6,Photography & Video,Portrait Photography,Unknown,Angie Monson,English,False,0,0,0,3.5,2,No,128.98,18.0
13474,How To Let Go,4.9,5,0.5,5,Personal Development,Happiness,Spiritual Healing,Kristina Olsson,English,False,0,10,0,0.55,1,No,34.98,18.0
13475,Value Proposition Design - Ideas to Commercial Success,0.0,0,0.0,0,Marketing,Marketing Fundamentals,Value Proposition Design,Institute of Product Leadership,English,False,0,0,0,2.0,0,No,49.98,18.0
13476,Finding Peace And Self-Discovery Through Meditation,5.0,5,0.5,2,Health & Fitness,Meditation,Unknown,Michelle Parkinson,English,False,0,0,0,6.0,16,No,55.98,18.0
13477,Sing Therapy- Easy singing technique to unleash your voice,5.0,5,0.5,7,Music,Vocal,Singing,Michael Christopher,English,False,0,0,0,3.0,11,No,128.98,18.0
13478,A well-trained dog in just 3 weeks,0.0,0,0.0,0,Lifestyle,Pet Care & Training,Dog Training,Antonina Zimareva,English,False,0,0,0,4.5,0,No,108.98,18.0
13479,Complete Google Classroom Course: Teaching Google Classroom,4.2,5,0.5,310,Teaching & Academics,Teacher Training,Google Classroom,TJ Walker,English,False,0,4,0,7.5,0,Yes,128.98,18.0
13480,The Complete Facebook Marketing Masterclass,4.5,5,0.5,1804,Marketing,Social Media Marketing,Facebook Marketing,Diego Davila,English,True,0,3,0,11.0,12,No,148.98,22.0
13481,FOCUS-Thinking: When Thinking Creates Life Changing Magic,5.0,5,0.5,3,Personal Development,Personal Transformation,Philosophy,Bill Haberman,English,False,0,0,0,5.0,0,No,29.98,18.0
13482,Ms Word Basics to Pro (Updated),4.0,5,0.5,5,Office Productivity,Oracle,Microsoft Word,Ogunmuyiwa ibrahim,English,False,0,1,0,2.5,1,No,29.98,18.0
13483,Learn Ethical Hacking: Beginner to Advanced!,4.4,5,0.5,4683,IT & Software,Network & Security,Ethical Hacking,Joseph Delgadillo,English,False,0,0,0,28.5,0,No,128.98,18.0
13484,Game Design for Mobile and Desktop,4.9,5,0.5,6,Development,Game Development,Game Design,Kristofer Occhipinti,English,False,0,0,0,3.5,2,No,29.98,18.0
13485,Photoshop Light Effects - Let There be Light!,4.6,5,0.5,2,Photography & Video,Photography Tools,Photoshop,Chris Parker,English,False,0,3,0,1.5,2,No,40.98,18.0
13486,FumeFX - Practical Projects,5.0,5,0.5,1,Design,3D & Animation,VFX Visual Effects,Taha Dalal,English,False,0,0,0,4.5,0,No,29.98,18.0
13487,Yoga for Hips Joints,0.0,0,0.0,0,Health & Fitness,Yoga,Unknown,Timea Vitez,English,False,0,0,0,6.0,1,No,29.98,18.0
13488,"How To Design, Model, Sculpt & Decorate An Isomalt Swan",5.0,5,0.5,1,Lifestyle,Food & Beverage,Sugarcraft,Beata Khoo,English,False,0,0,0,2.5,2,No,88.98,88.98
13489,Adobe Lightroom CC 2020 : Basic to Advanced Pictures Editing,4.0,5,0.5,2,Photography & Video,Photography Tools,Adobe Lightroom,Yahia Benghazala,English,False,0,0,0,1.5,0,No,40.98,18.0
13490,Design Thinking,4.5,5,0.5,6,Design,Design Thinking,Unknown,"Susan Weinschenk, Ph.D.",English,False,0,7,0,1.5,7,No,104.98,104.98
13491,Travel Journaling: How to Write Extraordinary Travel Diaries,4.8,5,0.5,917,Lifestyle,Travel,Journaling,Dave Fox,English,False,0,1,0,1.5,0,Yes,49.98,20.0
13492,Learn How To Create and Make Diffuser Jewelry,4.6,5,0.5,6,Design,Fashion Design,Jewelry Making,Vicky Wittmann-Lamb,English,False,0,11,0,1.5,22,No,34.98,18.0
13493,CKYCA Test Part 2 - KYC Intermediate,4.2,5,0.5,3,Finance & Accounting,Compliance,Anti-Money Laundering,Carl Alexander,English,False,2,0,0,0.0,0,No,29.98,18.0
13494,Master your Abundance mindset & Prosper,5.0,5,0.5,1,Personal Development,Motivation,Law of Attraction,Julia Shantal,English,False,0,0,0,0.7333333333333333,4,No,34.98,18.0
13495,The key metric of pricing in Economics: Elasticity,4.3,5,0.5,126,Teaching & Academics,Social Science,Economics,Evrim Kanbur,English,False,2,5,0,1.5,4,No,108.98,18.0
13496,Learn Anything: Upgrade your life with No Limits To Learning,5.0,5,0.5,6,Personal Development,Memory & Study Skills,Learning Strategies,Mattias Cook,English,False,0,1,0,1.0,20,No,40.98,18.0
13497,The Art of Encouraging Excellence In Your Students,5.0,5,0.5,1,Teaching & Academics,Teacher Training,Classroom Management,Dr. Dheeraj Mehrotra,English,False,0,0,0,1.0,0,No,29.98,18.0
13498,Sketchup Course(Essential Basics-Intermediate stage),4.2,5,0.5,3,Design,Architectural Design,SketchUp,Shadab Khan,English,False,0,0,0,3.0,4,No,40.98,18.0
13499,Build Your Shopify eCom Store In 3 Hours (Bare Essentials),4.9,5,0.5,8,Business,E-Commerce,Shopify,Jonathan Ng,English,False,0,0,0,4.5,5,No,29.98,18.0
13500,How to Turn Prospects into Customers with Act,5.0,5,0.5,3,Marketing,Social Media Marketing,CRM,Elene Marsden,English,False,0,2,0,5.5,0,No,55.98,18.0
13501,Your Complete Palmistry Online Diploma - Detailed Training,4.9,5,0.5,5,Personal Development,Religion & Spirituality,Palmistry,Jason Baigent,English,False,0,0,0,3.0,15,No,108.98,18.0
13502,How to Sing for Artists,4.8,5,0.5,22,Music,Vocal,Singing,Michal Towber,English,False,0,0,0,6.0,0,No,108.98,18.0
13503,Learn 17 simple scales on harmonica - scales are the way in!,4.4,5,0.5,7,Music,Instruments,Harmonica,Ben Hewlett,English,False,0,8,0,1.0,9,No,88.98,18.0
13504,The Social Media Marketing Mega Bundle - 7 Courses In 1,3.8,5,0.5,662,Marketing,Social Media Marketing,Unknown,James Canzanella,English,False,0,0,0,1.5,0,No,128.98,18.0
13505,OSHA Safety Training: PPE Management,4.0,5,0.5,47,Health & Fitness,Safety & First Aid,OSHA,Joe Story,English,False,0,0,0,1.0,3,No,29.98,18.0
13506,Woodworking: Fundamentals of Furniture Making,4.8,5,0.5,92,Lifestyle,Home Improvement,Woodworking,George Vondriska,English,False,0,0,0,3.0,3,Yes,59.98,59.98
13507,Learn Guitar: Zero to Guitar Fingerpicking in 30 days,4.3,5,0.5,1811,Music,Instruments,Fingerstyle Guitar,Patrick O'Malley,English,False,0,2,0,2.5,40,No,59.98,18.0
13508,Influencing Someone by reading Eye Patterns & Body Language,0.0,0,0.0,0,Personal Development,Influence,Body Language,Sri Devi,English,False,0,0,0,1.5,0,No,40.98,18.0
13509,Essential Lean Manufacturing for Management Consultants,4.4,5,0.5,1099,Business,Operations,Lean Manufacturing,Asen Gyczew,English,False,0,1,0,4.5,29,No,98.98,20.0
13510,DSLR Filmmaking: From Beginner to PRO!,4.0,5,0.5,789,Photography & Video,Photography,DSLR,Jordy Vandeput,English,False,0,0,0,1.5,0,No,78.98,18.0
13511,Sales Strategy: How To Boost Your Sales,0.0,0,0.0,0,Business,Sales,Sales Skills,Stephen O'shea,English,False,0,0,0,1.0,0,No,29.98,18.0
13512,iPhone Photography: Viral  Hacks & Learn Adobe Lightroom App,0.0,0,0.0,0,Photography & Video,Photography Tools,Photography,Aradhana Patidar,English,False,0,0,0,0.5333333333333333,0,No,29.98,18.0
13513,Building Reports with SQL Server Reporting Services (SSRS),4.7,5,0.5,71,Development,Database Design & Development,SSRS Reporting,Henning Lange,English,False,0,0,0,4.0,1,No,108.98,18.0
13514,LEED AP BD+C V4 | تحضير للإختبار وإعداد للتطبيق العملى,4.7,5,0.5,4,Design,Architectural Design,LEED,"Karim Elnabawy, USGBC Faculty",English,False,0,0,0,18.5,51,No,158.98,158.98
13515,Building Confidence Through Drawing: Art for Beginners,4.4,5,0.5,1558,Personal Development,Self Esteem & Confidence,Art for Kids,Em Winn,English,False,0,1,0,3.0,41,Yes,34.98,23.0
13516,Microsoft Windows Server 2019 Administration,5.0,5,0.5,1,IT & Software,Operating Systems & Servers,Windows Server,Siddhanshu Kapoor,English,False,0,0,0,19.0,1,No,29.98,18.0
13517,Media Training Public Speaking Training for Candidates,4.5,5,0.5,202,Marketing,Public Relations,Media Training,TJ Walker,English,False,0,4,0,4.5,4,No,128.98,18.0
13518,Linux command line from a hacker's perspective,5.0,5,0.5,4,IT & Software,Network & Security,Linux Command Line,Mostafa Ahmad,English,False,2,0,0,3.0,17,No,49.98,18.0
13519,Work From Home Productivity & Internet Marketing For Newbies,0.0,0,0.0,0,Marketing,Other Marketing,Home Business,Zoolord Academy,English,False,0,1,0,1.0,0,No,128.98,18.0
13520,Dissect the Dissection of Isshinryu:  Seisan Kata,0.0,0,0.0,0,Health & Fitness,Self Defense,Karate,Jonathan Oshita,English,False,0,0,0,1.5,0,No,44.98,18.0
13521,Publicity For Authors,5.0,5,0.5,3,Marketing,Public Relations,Book Marketing,David Ewen,English,False,0,1,0,0.5,9,No,29.98,18.0
13522,Monkey Mind - Self defence simplified - Unarmed Blueprint,5.0,5,0.5,2,Health & Fitness,Self Defense,Self-Defense,Matthew Teasdale,English,False,0,0,0,1.0,0,No,34.98,18.0
13523,How to create a Profitable Online Course,0.0,0,0.0,0,Marketing,Marketing Analytics & Automation,Online Course Marketing,Anastasia-Yvoni Spiliopoulou,English,False,0,0,0,1.0,6,No,40.98,18.0
13524,Anyone Can Make High Poly Art: Build 3D Pipes in Blender!,5.0,5,0.5,1,Design,Game Design,Blender,Mammoth Interactive,English,False,0,3,0,1.0,0,No,108.98,18.0
13525,Financial Management Basics You Can Use Today,5.0,5,0.5,1,Finance & Accounting,Finance,Financial Management,Andrea Travillian,English,False,0,1,0,2.0,1,No,29.98,18.0
13526,Learn to Master Google Drive,4.4,5,0.5,98,Office Productivity,Google,Google Drive,Dr Tahir Yaqub,English,False,0,0,0,2.0,0,No,128.98,18.0
13527,"Advanced First Aid: Learn CPR, choking, injuries and more",0.0,0,0.0,0,Health & Fitness,Safety & First Aid,First Aid,Meir Aviv,English,False,0,29,0,1.5,0,No,104.98,18.0
13528,Visual Merchandising,4.4,5,0.5,3,Design,Interior Design,Merchandising,Indian Design League,English,False,0,0,0,4.5,13,No,44.98,18.0
13529,Redesign and manage call center,0.0,0,0.0,0,Business,Management,Call Center,Tayfun Türkalp,English,False,0,4,0,1.0,0,No,34.98,18.0
13530,Foundations of International Political Economy,4.2,5,0.5,11,Finance & Accounting,Economics,International Relations,Robert Lee Reed (MBA),English,False,0,0,0,2.0,9,No,55.98,18.0
13531,Effective Time Management - Get 10X More Done in Less Time,4.4,5,0.5,4705,Personal Development,Personal Productivity,Time Management,"William U. Peña, MBA",English,False,0,0,0,1.0,2,No,29.98,20.0
13532,Cost Accounting: Introduction to Management Accounting,4.3,5,0.5,731,Business,Other Business,Management Accounting,"David Burrell, BComm",English,True,0,1,0,7.5,0,No,29.98,18.0
13533,Become a Trigonometry & Precalculus Master,4.7,5,0.5,2257,Teaching & Academics,Math,Trigonometry,Krista King,English,False,0,125,0,14.5,212,Yes,128.98,18.0
13534,Data Science with SAP - Machine Learning for Enterprise Data,4.8,5,0.5,22,Office Productivity,SAP,Data Science,Manifold AI Learning ®,English,False,0,21,0,20.0,59,Yes,128.98,18.0
13535,Building Your English Brain,4.5,5,0.5,6634,Teaching & Academics,Language Learning,English Language,Luke Priddy,English,False,0,0,0,3.0,1,No,49.98,18.0
13536,Dragon Yoga: Shamanic Kundalini Yoga & The 7 Celtic Chakras,5.0,5,0.5,90,Health & Fitness,Yoga,Kundalini,Mark Keane,English,False,0,1,0,10.5,13,No,128.98,18.0
13537,Triple Your Job Interviews - My Huge Job Interview Secret,4.2,5,0.5,617,Personal Development,Career Development,Job Search,Jerry Jay Hunter,English,False,0,14,0,1.0,1,No,44.98,18.0
13538,A biblical understanding on overcoming unforgiveness,5.0,5,0.5,1,Personal Development,Religion & Spirituality,The Bible,Michael E.B. Maher,English,False,0,4,0,2.0,2,No,29.98,18.0
13539,Become a SuperHuman: Naturally & Safely Boost Testosterone,4.5,5,0.5,4475,Health & Fitness,Fitness,Testosterone,Jonathan Levi,English,False,0,0,0,2.5,0,Yes,108.98,18.0
13540,The Buyer Presentation ,4.9,5,0.5,6,Business,Real Estate,Presentation Skills,Candy Miles-Crocker,English,False,0,0,0,1.5,1,No,218.98,218.98
13541,"Advanced Product Management: Vision, Strategy & Metrics",4.4,5,0.5,4183,Business,Management,Product Management,Cole Mercer,English,False,0,6,0,5.5,47,No,128.98,18.0
13542,LMMS Course: Complete Guide to an Easy Music Production DAW,4.1,5,0.5,2,Music,Music Software,Music Production,Vishal Ramchandani,English,False,0,3,0,1.5,6,No,40.98,18.0
13543,Become a Facebook Ads Specialist | Advertising Masterclass,4.6,5,0.5,847,Marketing,Social Media Marketing,Facebook Ads,Robin & Jesper,English,False,0,4,0,13.5,18,No,138.98,20.0
13544,The Ultimate Guide on How to Become a Designer,4.2,5,0.5,385,Design,Other Design,Graphic Design,Martin Perhiniak,English,False,0,0,0,2.0,0,No,59.98,18.0
13545,Complete 2-in-1 Python for Business and Finance Bootcamp,4.7,5,0.5,546,Finance & Accounting,Finance,Finance Fundamentals,Alexander Hagmann,English,False,0,40,0,37.5,65,No,128.98,18.0
13546,CentOS 7 Linux Server: Alternative to Red Hat Enterprise,4.7,5,0.5,1052,IT & Software,Operating Systems & Servers,CentOS,Cody Ray Miller,English,False,0,0,0,4.5,0,No,104.98,18.0
13547,Financial Literacy for Board Members,5.0,5,0.5,3,Finance & Accounting,Finance,Finance Fundamentals,Illumeo Learning,English,False,0,2,0,1.0,2,No,34.98,18.0
13548,Fundamentals of Analyzing Real Estate Investments,4.5,5,0.5,10376,Business,Real Estate,Real Estate Investing,Symon He,English,True,0,19,0,18.5,69,Yes,148.98,22.0
13549,The Git MCQ practice test,4.1,5,0.5,5,Development,Software Engineering,Git,WebTech Studies,English,False,2,0,0,0.0,0,No,29.98,18.0
13550,Geometric Dimensioning & Tolerancing : Advanced concepts,4.3,5,0.5,380,Teaching & Academics,Engineering,Geometric Dimensioning and Tolerancing (GD&T),Mufaddal Rasheed,English,False,0,1,0,3.5,0,Yes,94.98,18.0
13551,Lyricology: The Perfect Formulas for Hip-Hop Songwriting!,4.1,5,0.5,286,Music,Music Techniques,Songwriting,Andre Gainer,English,False,0,0,0,1.0,1,No,49.98,18.0
13552,Freelancing: 37 Ways to Make Money From Home as a Freelancer,4.2,5,0.5,474,Business,Other Business,Freelancing,Roope Kiuttu,English,False,0,1,0,2.0,0,No,128.98,18.0
13553,Nurturing pheasant in home,5.0,5,0.5,2,Business,Other Business,Pet Care,Morteza Baghani,English,False,0,0,0,0.5333333333333333,0,No,29.98,18.0
13554,Create animated 2D characters using Procreate and Animate CC,4.7,5,0.5,14,Design,Game Design,Animation,Alan Balodi,English,False,0,0,0,4.0,5,No,88.98,18.0
13555,Understanding Strategic Marketing,4.6,5,0.5,980,Business,Sales,Marketing Strategy,Chris Croft,English,False,0,0,0,1.5,0,No,88.98,18.0
13556,Roadmap to Real Estate Success,4.8,5,0.5,2,Business,Real Estate,Unknown,Hitesh Mirani,English,False,0,0,0,8.0,12,No,29.98,18.0
13557,OBS Studio - Complete Guide to OBS Studio from Scratch,4.5,5,0.5,112,Teaching & Academics,Online Education,Open Broadcaster,Easy Learning Academy,English,False,0,0,0,0.65,0,No,29.98,18.0
13558,Video Making & Marketing Mastery - V3M Course,0.0,0,0.0,0,Marketing,Video & Mobile Marketing,Video Marketing,Puneet Tandon,English,False,0,2,0,4.0,2,No,34.98,18.0
13559,Weight Loss Program: Get Ready for Summer in 8 Weeks !,4.6,5,0.5,10,Health & Fitness,Fitness,Weight Loss,Aurelia Mukian Bedkowski,English,False,0,1,0,3.5,7,No,44.98,44.98
13560,Go Hollywood: Boost Your Business with Video Storyselling,4.6,5,0.5,15,Marketing,Content Marketing,Video Marketing,Kevin Campbell,English,False,0,0,0,1.5,20,No,128.98,18.0
13561,Network Marketing MLM -The Age of Digital Persuasion Mastery,0.0,0,0.0,0,Business,Entrepreneurship,Network Marketing,Carla Ksonzek,English,False,0,0,0,1.0,1,No,59.98,59.98
13562,Learn how to DJ From The Wu-Tang Clan,4.7,5,0.5,368,Music,Music Techniques,DJ,Dj Symphony Wu-Tang Clan,English,False,0,0,0,7.0,0,No,108.98,18.0
13563,Yoni/Vaginal Steam Training Certification E Course,4.7,5,0.5,1611,Health & Fitness,General Health,Health,Misty Cassady,English,False,0,0,0,1.0,8,Yes,108.98,18.0
13564,Being Successful with Sports Photography,4.0,5,0.5,27,Photography & Video,Commercial Photography,Photography Business,Ben Lumley,English,False,0,0,0,1.0,0,No,34.98,18.0
13565,CTMA Certified Transaction Monitoring Foundations Exam,0.0,0,0.0,0,Finance & Accounting,Compliance,Anti-Money Laundering,Carl Alexander,English,False,2,0,0,0.0,0,No,29.98,18.0
13566,Business Analysis Masterclass (5 courses in 1),4.5,5,0.5,139,Business,Business Analytics & Intelligence,Business Intelligence,Data Is Good Academy,English,False,0,2,0,24.0,77,No,29.98,18.0
13567,TABLEAU 2018 ADVANCED: Master Tableau in Data Science,4.9,5,0.5,1028,Business,Business Analytics & Intelligence,Tableau,Kirill Eremenko,English,True,0,4,0,9.5,0,No,138.98,20.0
13568,Photoshop CC - Beginners,0.0,0,0.0,0,Photography & Video,Photography Tools,Photoshop,Eric Bogle,English,False,0,0,0,0.6333333333333333,0,No,29.98,18.0
13569,Vector Drawing on the iPad with Affinity Designer,4.5,5,0.5,1486,Design,Design Tools,Affinity Designer,Brad Colbow,English,False,0,0,0,4.5,21,No,29.98,18.0
13570,Adapting to Life After a Crisis,0.0,0,0.0,0,Personal Development,Happiness,Resilience,Sammy Taylor,English,False,0,0,0,2.0,26,No,68.98,18.0
13571,Inside Your Dog's Mind with Victoria Stilwell,4.5,5,0.5,2259,Lifestyle,Pet Care & Training,Dog Behavior,Victoria Stilwell,English,False,0,0,0,3.0,0,No,148.98,20.0
13572,Customer Success: How to Reduce Churn and Increase Retention,4.5,5,0.5,449,Business,Sales,Customer Success Management,Gustavo Escobar Henríquez,English,False,0,3,0,1.5,1,No,59.98,18.0
13573,MBA - Strategic Management  - Industry Change & Value Curves,5.0,5,0.5,1,Business,Business Strategy,MBA,Hans Weemaes,English,False,0,0,0,1.5,0,No,29.98,18.0
13574,Oracle Fusion HCM - Talent Management,0.0,0,0.0,0,IT & Software,Operating Systems & Servers,Oracle Cloud,Anton Rzhanov,English,False,0,0,0,13.0,0,No,59.98,59.98
13575,Statistics  and Probability,5.0,5,0.5,1,Teaching & Academics,Math,Probability,Ifrah Khalid,English,False,0,0,0,0.5166666666666667,0,No,59.98,18.0
13576,Financial Modelling from Scratch using Microsoft Excel,4.3,5,0.5,203,Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,"Piyush Arora, CFA, MBA Finance",English,False,0,0,0,2.0,1,No,68.98,18.0
13577,Your 1 Hour Guide to Dominate and Influence Conversations,5.0,5,0.5,1,Personal Development,Influence,Communication Skills,Abe Sharma,English,False,0,0,0,1.0,0,No,49.98,18.0
13578,SHRM SCP Question Bank 2021 - 611 Questions,0.0,0,0.0,0,Business,Human Resources,SHRM Senior Certified Professional (SHRM-SCP),MyCert Academy,English,False,5,0,0,0.0,0,No,29.98,29.98
13579,MS Word For Beginners: Updated For 2021,5.0,5,0.5,7,Office Productivity,Microsoft,Microsoft Word,Shubham Pareek,English,False,0,0,0,3.0,0,No,49.98,18.0
13580,Adobe Premiere Pro CS6: The Complete Video Editing Course,4.6,5,0.5,1073,Photography & Video,Video Design,Adobe Premiere,Phil Ebiner,English,True,0,2,0,5.0,15,No,108.98,18.0
13581,Adobe Photoshop CC Essentials | Photoshop Masterclass,4.6,5,0.5,2123,Design,Design Tools,Photoshop,Chris Parker,English,True,0,54,0,38.0,39,Yes,59.98,18.0
13582,Illustrator Masterclass - Build Video Game Vector Graphics,0.0,0,0.0,0,Design,Game Design,Adobe Illustrator,Mammoth Interactive,English,False,0,1,0,6.0,1,No,128.98,18.0
13583,Become a Student Investor,5.0,5,0.5,4,Finance & Accounting,Investing & Trading,Investing,The Student Investor,English,False,0,0,0,1.5,2,No,49.98,49.98
13584,Tekla Structures 2020 Basic Training,3.0,5,0.5,1,Design,Other Design,Concrete,Art Robin,English,False,0,0,0,14.0,0,No,128.98,18.0
13585,Finding Film Scoring Jobs,4.4,5,0.5,22,Music,Other Music,Music Business,Jonathan Armandary,English,False,0,0,0,3.5,7,No,108.98,18.0
13586,Certified Balanced Scorecard Professional (CBSCP),4.6,5,0.5,62,Business,Business Strategy,Balanced Scorecard,Dr. Rachad Baroudi | KPI Mega Library,English,False,0,0,0,4.5,13,Yes,128.98,18.0
13587,CFC Universal Exam Prep (EPA Section 608 )Type II,5.0,5,0.5,1,Teaching & Academics,Test Prep,HVAC,Julio Herrera,English,False,0,0,0,1.0,2,No,55.98,18.0
13588,How do Jewellery companies attract customers?,0.0,0,0.0,0,Business,Sales,Unknown,Online Entrepreneur,English,False,2,0,0,1.0,0,No,128.98,18.0
13589,CAPM Certification Exam Prep Course 25 PDU Contact Hours/PDU,4.6,5,0.5,470,Teaching & Academics,Test Prep,CAPM,"TIA Education, Andrew Ramdayal",English,False,1,18,0,19.0,20,No,128.98,18.0
13590,How to write a resume for a Defense Contractor job.,5.0,5,0.5,1,Personal Development,Career Development,Resume and CV Writing,Bruce Benedict,English,False,0,0,0,3.0,3,No,29.98,18.0
13591,"The Complete History of Music, COMPLETE: Parts 1, 2, and 3",4.8,5,0.5,217,Music,Music Fundamentals,Music History,Jason Allen,English,False,0,4,0,9.5,3,No,78.98,23.0
13592,(2021) 4hr FAA Part 107 Knowledge Test Prep for Drone Pilots,4.6,5,0.5,533,Teaching & Academics,Test Prep,UAS/Drone Remote Pilot,Britton Spader,English,False,1,3,0,4.0,18,No,29.98,18.0
13593,Search Engine Optimization Complete Specialization Course,3.9,5,0.5,813,Marketing,Search Engine Optimization,SEO,Khushank Raj Mahawan,English,False,0,0,0,3.5,2,No,59.98,18.0
13594,Finance for the Real World - Corporate Finance 101,3.7,5,0.5,1278,Finance & Accounting,Finance,Corporate Finance,"BrainyMoney and Son Han, CFA, CPA",English,False,0,0,0,2.0,6,No,40.98,18.0
13595,All About Documentary Credit,4.4,5,0.5,10,Business,Other Business,Working Abroad,Vijesh Jain,English,False,0,8,0,1.0,1,No,128.98,18.0
13596,Whatsapp to eCom,0.0,0,0.0,0,Business,Sales,Whatsapp Marketing,Maria Ebenezer,English,False,0,1,0,1.0,0,No,29.98,18.0
13597,Mechanical design and Product development process,4.2,5,0.5,293,Design,Other Design,Product Design,Mufaddal Rasheed,English,False,0,2,0,4.5,0,No,88.98,18.0
13598,7 Simple Breathing Techniques for Busy People,4.8,5,0.5,112,Health & Fitness,Meditation,Breathing Techniques,Nidhi Mishra,English,False,0,11,0,0.5,0,No,29.98,18.0
13599,Epic guide to using Canva to grow your tutoring business,0.0,0,0.0,0,Business,Entrepreneurship,Canva,Dawn Strachan,English,False,0,0,0,1.5,0,No,29.98,18.0
13600,Agile Project Management in 30 Minutes,4.4,5,0.5,1325,Business,Project Management,Agile,Crystal Richards,English,False,0,1,0,0.5166666666666667,1,No,59.98,18.0
13601,Operating System,0.0,0,0.0,0,IT & Software,Operating Systems & Servers,Operating System,TheInquisitor ltd,English,False,0,0,0,4.0,0,No,44.98,18.0
13602,Goal Achievement Life Coach Certification3 Training,4.8,5,0.5,99,Business,Industry,Life Coach Training,Empowerment Coach Academy,English,False,0,1,0,9.5,108,No,128.98,18.0
13603,Online Japanese N5 Course(All 15 lessons),4.5,5,0.5,5830,Teaching & Academics,Language Learning,Japanese Language,Attain Corp.,English,True,0,2,0,21.0,18,Yes,128.98,18.0
13604,Capture One 12 in Action for Beginners,4.7,5,0.5,15,Photography & Video,Photography Tools,Image Editing,Kasia Zmokla,English,False,0,2,0,4.0,5,No,78.98,78.98
13605,Indian Income Tax Made Easy (Employees)- 2020 & COVID Update,3.2,5,0.5,58,Finance & Accounting,Taxes,Tax Preparation,Vimal Arora,English,False,0,0,0,9.0,0,No,128.98,18.0
13606,Appalachian Gardening,0.0,0,0.0,0,Lifestyle,Other Lifestyle,Gardening,Spencer Bolejack,English,False,0,0,0,2.5,0,No,40.98,18.0
13607,Basics of standpipe or wetriser system,0.0,0,0.0,0,Design,Architectural Design,Hydraulics,Kundan Kumar,English,False,0,0,0,1.0,0,No,29.98,18.0
13608,COMPLETE PUBLIC SPEAKING & COMMUNICATION SKILLS MASTER CLASS,5.0,5,0.5,47,Personal Development,Career Development,Communication Skills,GB Voice Academy,English,False,0,0,0,1.5,0,No,108.98,18.0
13609,Am I a Good Boss? (Three Things to Think About),0.0,0,0.0,0,Personal Development,Leadership,Unknown,Annette Poro,English,False,0,0,0,0.7,1,No,29.98,18.0
13610,SAP Transportation Management 9.5 Exam Practice Test (TM),5.0,5,0.5,1,Office Productivity,SAP,SAP Certified Application Associate - SAP Transportation Management,The SAP Academy,English,False,6,0,0,0.0,0,No,34.98,18.0
13611,Learn 200+ LEGENDARY Classic Rock Guitar Riffs - With TABS,4.9,5,0.5,27,Music,Music Techniques,Guitar,Thomas Saguto,English,False,0,0,0,14.5,202,No,88.98,88.98
13612,How to sell your product or service,0.0,0,0.0,0,Marketing,Marketing Fundamentals,Sales Skills,Gordon Pace,English,False,0,0,0,1.0,1,No,68.98,18.0
13613,Make your academic poster STAND OUT,5.0,5,0.5,6,Personal Development,Other Personal Development,Presentation Skills,Martine Abboud,English,False,0,0,0,1.0,0,No,44.98,18.0
13614,Abstract Techniques Revealed Vol. 1  Create Large Modern Art,4.7,5,0.5,711,Lifestyle,Arts & Crafts,Abstract Painting,Gino Savarino,English,False,0,0,0,1.5,0,No,40.98,18.0
13615,Become a Master in Human Resource Management (HRM),3.6,5,0.5,63,Teaching & Academics,Other Teaching & Academics,Human Resources,Vijaya Laxmi E,English,False,0,0,0,7.0,0,No,118.98,18.0
13616,Weight Loss & Hypnosis - Practical Guide,4.5,5,0.5,19,Health & Fitness,Dieting,Weight Loss,E.M. Mercado,English,False,0,2,0,4.0,0,No,128.98,18.0
13617,Domestic Violence and Abuse Awareness Course,4.5,5,0.5,7,Personal Development,Parenting & Relationships,Toxic Relationship Coping,Alpha Academy,English,False,0,0,0,2.0,0,No,29.98,18.0
13618,Mac Pages: Mastering Apple's Word Processing App,4.4,5,0.5,717,Office Productivity,Apple,Mac Pages,MacMost & Gary Rosenzweig,English,False,0,0,0,4.5,8,No,49.98,49.98
