,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
678,3 Minute Italian - Course 4 | Language lessons for beginners,https://www.udemy.com/course/3-minute-italian-course-4/,Kieran Ball,4.9,51,7.0,109,Beginner,0.0,0.0,1017
679,Full course Circuit Analysis,https://www.udemy.com/course/full-course-circuit-analysis/,Moe Alqarain,4.2,51,15.0,123,All Levels,0.0,0.0,304
680,Viruses from diagnosis to treatments,https://www.udemy.com/course/medical-virology/,Jeanette EL Hajj,4.1,51,5.5,12,Intermediate,0.0,0.0,2200
681,Become a Top Internet Marketing Coach,https://www.udemy.com/course/top-marketing-coach/,Earners Classroom,4.2,51,5.5,20,All Levels,0.0,0.0,1437
682,Spanish for Advanced Beginners: Move Beyond the Basics,https://www.udemy.com/course/spanish-advanced-beginners/,Nikki Joslin,4.5,51,3.5,106,Beginner,0.0,0.0,437
683,Create Your First Successful Online Business,https://www.udemy.com/course/create-an-online-course-the-complete-and-proven-guide/,"Rob Percival, Jon H., Codestars by Rob Percival",4.2,51,7.5,80,Beginner,0.0,0.0,1544
684,General inorganic chemistry : 14H course + solved problems,https://www.udemy.com/course/general-inorganic-chemistry-14h-course-solved-problems/,WR Training,4.5,51,14.5,152,All Levels,0.0,0.0,507
685,Succeed On Udemy Fast - Unofficial,https://www.udemy.com/course/unofficial-udemy-instructors-succeed-on-udemy-fast/,"Howard Lynch, Antoine Lelievre, Antoine Jessen",4.8,50,2.0,22,All Levels,0.0,0.0,16113
686,Power Pre-Algebra,https://www.udemy.com/course/power-pre-algebra/,Huzefa Kapadia,3.1,48,14.0,113,All Levels,0.0,29.99,232
687,Calculus 1 - Limits and Continuity,https://www.udemy.com/course/calculus-1-limits-and-continuity/,Julio Gonzalez,4.9,48,4.0,26,All Levels,129.99,11.99,405
688,Power Engineering: Power System Analysis - Part 2,https://www.udemy.com/course/power-system-analysis-part-2-equipment-models/,"Ricardo Romero, PE",4.7,49,2.0,21,All Levels,109.99,11.99,805
689,Algebra 2 Explained,https://www.udemy.com/course/algebra-2-explained/,"John Greene, M.A.",4.4,48,40.5,240,Beginner,59.99,11.99,2306
690,GMAT® Math | Official Guide 2017 | Problem Solving,https://www.udemy.com/course/gmat-official-guide-2017-expert-problem-solving-230-qs/,"Néve Chen, NeatPrep",4.0,48,13.0,232,All Levels,0.0,139.99,2340
691,Spanish 3 - Intermediate Level Spanish Course,https://www.udemy.com/course/spanish-course-3/,Spanish To Move®,4.1,48,5.0,46,Intermediate,89.99,11.99,352
692,"The Art of van Gogh, Cezanne, Gauguin and Post-Impressionism",https://www.udemy.com/course/post-impressionism/,Federico von Borstel,4.1,48,1.5,9,All Levels,129.99,11.99,209
693,OET Insights Reading: All Professions,https://www.udemy.com/course/oet-insights-reading-all-professions/,Sona Lisa Bose,4.6,48,5.0,22,Expert,34.99,11.99,178
694,Introduction to Heat Transfer Engineering - RAHHT1 Rahsoft,https://www.udemy.com/course/heat-transfer-online-course-for-engineering-students-rahht1-rahsoft/,Rahsoft Chemical Engineering Department,4.5,48,6.0,37,Intermediate,19.99,11.99,683
695,"Control Valve Basics (Engineering, Oil and Gas Industry)",https://www.udemy.com/course/control-valve-basics-engineering-oil-and-gas-industry/,saVRee lite,4.3,48,1.5,30,Beginner,19.99,11.99,227
696,Econometrics: Solved Questions and Mathematical Proofs,https://www.udemy.com/course/basic-introductory-econometrics-solved-questions/,Shubham Kalra,4.1,48,11.5,85,All Levels,49.99,11.99,531
697,The Psychology of Serial Killers,https://www.udemy.com/course/the-psychology-of-serial-killers/,Jessenia Arias,4.4,48,2.0,32,All Levels,34.99,11.99,2079
698,How To Avoid Used Car Scams: Learn From A 30-Year Veteran,https://www.udemy.com/course/learn-how-to-avoid-used-car-scams-hidden-secrets-exposed/,"Paul Proto, Ernie Mallozzi, Jason Vincent",4.3,48,1.0,19,All Levels,19.99,11.99,344
699,Antennas for Wireless Communications,https://www.udemy.com/course/antennas-for-wireless-communications/,Anastasis Polycarpou,4.3,48,9.5,44,All Levels,0.0,49.99,194
700,Vedic Mathematics: The Ancient Art of Superfast Calculations,https://www.udemy.com/course/vedic-mathematics-the-ancient-art-of-superfast-calculations/,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!,2.8,48,10.5,17,Beginner,19.99,11.99,6644
701,How to Train Like a Coach,https://www.udemy.com/course/coaching-bundle-how-to-train-like-a-coach/,Parveen Sandhu,4.0,48,1.5,14,Expert,0.0,109.99,124
702,German B2 - Upper Intermediate German,https://www.udemy.com/course/german-b2-upper-intermediate-german/,Julia Krist,4.6,48,7.5,55,All Levels,99.99,11.99,761
703,Optometry Skills for Success,https://www.udemy.com/course/ophthalmic-and-optometry-skills-for-success/,Frank Eperjesi,4.6,48,1.0,64,All Levels,69.99,11.99,566
704,Conversational Spanish 1: Master Spoken Spanish (Beginners),https://www.udemy.com/course/spanish-conversation-1/,"Dillon March, MA",4.2,48,2.0,38,Beginner,129.99,11.99,17103
705,Chemistry 101 - Part 3 Organic and Physical Chemistry,https://www.udemy.com/course/chemistry-101-part-3-organic-and-physical-chemistry/,Graham Bray,4.2,48,2.0,8,Beginner,19.99,11.99,720
